2024-01-30T04:52:18.164Z [ERROR]: IND_current_time: 2024-01-30 10:22:18 AM, message: Main catch error: {} message:Unexpected end of JSON input
2024-01-30T04:54:36.860Z [ERROR]: IND_current_time: 2024-01-30 10:24:36 AM, message: Main catch error: {} message:formId is not defined
2024-01-30T09:03:13.479Z [INFO]: IND_current_time: 2024-01-30 14:33:13 PM, message: MongoDB connected.
2024-01-30T09:03:13.566Z [INFO]: IND_current_time: 2024-01-30 14:33:13 PM, message: MongoDB connected.
2024-01-30T09:03:15.846Z [INFO]: IND_current_time: 2024-01-30 14:33:15 PM, message: MongoDB connected.
2024-01-30T09:03:15.857Z [INFO]: IND_current_time: 2024-01-30 14:33:15 PM, message: MongoDB connected.
2024-01-30T09:03:17.028Z [INFO]: IND_current_time: 2024-01-30 14:33:17 PM, message: MongoDB connected.
2024-01-30T09:03:17.080Z [INFO]: IND_current_time: 2024-01-30 14:33:17 PM, message: MongoDB connected.
2024-01-30T09:03:23.346Z [INFO]: IND_current_time: 2024-01-30 14:33:23 PM, message: MongoDB connected.
2024-01-30T09:03:23.355Z [INFO]: IND_current_time: 2024-01-30 14:33:23 PM, message: MongoDB connected.
2024-01-30T09:03:23.428Z [INFO]: IND_current_time: 2024-01-30 14:33:23 PM, message: MongoDB connected.
2024-01-30T09:03:23.721Z [INFO]: IND_current_time: 2024-01-30 14:33:23 PM, message: MongoDB connected.
2024-01-30T09:04:02.737Z [INFO]: IND_current_time: 2024-01-30 14:34:02 PM, message: MongoDB connected.
2024-01-30T09:04:02.777Z [INFO]: IND_current_time: 2024-01-30 14:34:02 PM, message: MongoDB connected.
2024-01-30T09:04:02.862Z [INFO]: IND_current_time: 2024-01-30 14:34:02 PM, message: MongoDB connected.
2024-01-30T09:04:03.171Z [INFO]: IND_current_time: 2024-01-30 14:34:03 PM, message: MongoDB connected.
2024-01-30T09:04:18.098Z [INFO]: IND_current_time: 2024-01-30 14:34:18 PM, message: MongoDB connected.
2024-01-30T09:04:24.890Z [INFO]: IND_current_time: 2024-01-30 14:34:24 PM, message: MongoDB connected.
2024-01-30T09:04:24.933Z [INFO]: IND_current_time: 2024-01-30 14:34:24 PM, message: MongoDB connected.
2024-01-30T09:04:25.009Z [INFO]: IND_current_time: 2024-01-30 14:34:25 PM, message: MongoDB connected.
2024-01-30T09:04:25.214Z [INFO]: IND_current_time: 2024-01-30 14:34:25 PM, message: MongoDB connected.
2024-01-30T09:04:50.321Z [INFO]: IND_current_time: 2024-01-30 14:34:50 PM, message: MongoDB connected.
2024-01-30T09:04:50.333Z [INFO]: IND_current_time: 2024-01-30 14:34:50 PM, message: MongoDB connected.
2024-01-30T09:04:50.667Z [INFO]: IND_current_time: 2024-01-30 14:34:50 PM, message: MongoDB connected.
